model_name,dataset_name,users_top_percent,users_dec_perc_suppr,community_suppression,suppress_power_nodes_first,use_suppression,experiment_id,log_file,top@10_ndcg,top@10_recall,top@10_precision,top@10_mrr,top@10_hit_rate,top@10_item_coverage,top@10_gini_index,top@10_average_rec_popularity,top@10_popularity_lift,top@10_pop_miscalibration,top@10_simpson_index_genre,top@10_intra_list_diversity,top@10_normalized_genre_entropy,top@10_unique_genres_count,top@10_user_community_bias,top@20_ndcg,top@20_recall,top@20_precision,top@20_mrr,top@20_hit_rate,top@20_item_coverage,top@20_gini_index,top@20_average_rec_popularity,top@20_popularity_lift,top@20_pop_miscalibration,top@20_simpson_index_genre,top@20_intra_list_diversity,top@20_normalized_genre_entropy,top@20_unique_genres_count,top@20_user_community_bias,top@50_ndcg,top@50_recall,top@50_precision,top@50_mrr,top@50_hit_rate,top@50_item_coverage,top@50_gini_index,top@50_average_rec_popularity,top@50_popularity_lift,top@50_pop_miscalibration,top@50_simpson_index_genre,top@50_intra_list_diversity,top@50_normalized_genre_entropy,top@50_unique_genres_count,top@50_user_community_bias,top@100_ndcg,top@100_recall,top@100_precision,top@100_mrr,top@100_hit_rate,top@100_item_coverage,top@100_gini_index,top@100_average_rec_popularity,top@100_popularity_lift,top@100_pop_miscalibration,top@100_simpson_index_genre,top@100_intra_list_diversity,top@100_normalized_genre_entropy,top@100_unique_genres_count,top@100_user_community_bias
ItemKNN,lastfm,0.05,0.4,0.5,True,False,lastfm_ItemKNN_u0.4_s0.5_pTrue_0630_113332,lastfm_ItemKNN_no_suppression_113332.log,0.2650475096163512,0.23809018607179286,0.18300102726720774,0.5231891340647881,0.7894811642409203,0.45070721357850074,0.7904021713329592,203.49340460004444,8.1042014956897,1.3578215560650047,0.840971816134328,0.6876826147364226,0.8849685998852699,10.779407656468557,0.8196427822113037,0.30495606866684866,0.3355108073609534,0.12894379004597972,0.5231891340647881,0.8764952058452427,0.6034653465346534,0.7903000016874436,172.79549932605156,6.881645854021599,1.1500253977777681,0.8641757547602692,0.7224853502317709,0.8436685718149031,16.004729967545053,0.7695167779922485,0.36556113066460666,0.49080975433292506,0.0759051493134282,0.5231891340647881,0.9432504905048253,0.8213578500707213,0.7701091861133361,133.7110675167779,5.325093633818446,0.8359737871114769,0.8960744637514961,0.7865356803639273,0.8094268092120567,28.049648887032703,0.6965858221054078,0.40800588217654177,0.6239685198621657,0.04834484344380581,0.5231891340647881,0.9714652968341564,0.9480905233380481,0.7288270589911212,107.80523242919064,4.293383992532758,0.604003212919424,0.917449013360039,0.8323008328859102,0.7997158958525007,41.40889973862332,0.63133385181427
ItemKNN,lastfm,0.05,0.625,0.8,True,True,lastfm_ItemKNN_u0.625_s0.8_pTrue_0702_153048,lastfm_ItemKNN_u0.625_s0.8_pTrue_0702_153048.log,0.15281795131558323,0.1445652959725167,0.1112607455738247,0.3333759809373063,0.6194890463357223,0.7700848656294201,0.6587449671743315,134.4013809105799,5.352585624772847,0.72531103471689,0.8838299163927209,0.8105265548992898,0.912050665371706,14.212300178311267,0.5625139236450195,0.18436827461177802,0.21842465325886068,0.08382344135074246,0.3333759809373063,0.752186535920867,0.9041725601131543,0.6525471339778603,121.93976444148466,4.856297054506669,0.6262560599666827,0.9067668025597622,0.8344671862059736,0.8826957925246586,21.95115900415044,0.5003684639930726,0.23252646595019835,0.3425975003142258,0.052832422724672645,0.3333759809373063,0.8791049102166184,0.9695898161244696,0.5973105850039996,102.2228462002801,4.071063358039601,0.4721923614525063,0.9287165662186426,0.8666418625579102,0.8522452640042737,37.38009596740269,0.43432292342185974,0.26899583455180676,0.45726650121926804,0.03533616503949157,0.3333759809373063,0.9344939808165499,0.9763083451202264,0.5349464791807124,85.71392539730832,3.4135893680268685,0.34581635121916354,0.9408777641000936,0.887916016996823,0.8361280614331191,52.96067245556478,0.39214085340499877
ItemKNN,ml-100k,0.05,0.4,0.5,True,False,ml-100k_ItemKNN_u0.4_s0.5_pTrue_0630_113217,ml-100k_ItemKNN_no_suppression_113217.log,0.2830561689959206,0.23258157454734046,0.19681365961704078,0.4962002438138534,0.8014370272040182,0.17006907137375288,0.6931441559312207,238.42586517618093,5.631630604995264,1.8623445540562742,0.8448158235995873,0.8022134893271632,0.9135073048497349,9.45240357560156,0.7547698497772217,0.30113998679983434,0.3433149704232445,0.1524883749220906,0.4962002438138534,0.887969718133434,0.22409823484267077,0.6668688355605027,213.3380934854891,5.039056209763298,1.5875505842654523,0.864573848608633,0.8111463646956857,0.8953601966130279,11.773368534748673,0.7137546539306641,0.3535511030011743,0.5110080552340788,0.09879593951332147,0.4962002438138534,0.9500509725586536,0.3479662317728319,0.6594920805304689,182.6015476988858,4.313057493911868,1.258124762261244,0.8815437448544433,0.824480990951048,0.8769616945206804,14.6192443961826,0.6321236848831177,0.4041273413046501,0.6536995489118731,0.06802077126226842,0.4962002438138534,0.9751311858803671,0.491481197237145,0.6469014963904731,155.6517227982982,3.6765013107256883,0.9798399141013567,0.886514972079615,0.8282889524999308,0.8679860668732807,15.95719721528651,0.5262210845947266
ItemKNN,ml-100k,0.05,0.625,0.8,False,True,ml-100k_ItemKNN_u0.625_s0.8_pFalse_0702_151441,ml-100k_ItemKNN_u0.625_s0.8_pFalse_0702_151441.log,0.20654778607883634,0.16447191100084538,0.14523715546134353,0.4053449897504863,0.6883542627982578,0.2377590176515733,0.8119252132577731,232.88413654984134,5.500734703606332,2.0756006692497535,0.8580990634907624,0.8178743858097366,0.9255648073230238,9.982690672246187,0.5271071314811706,0.22257077114186918,0.25094045971762513,0.11583804334184497,0.4053449897504863,0.8048617087254568,0.3447429009976976,0.8154248996754596,209.13690448036664,4.939823919838988,1.7479529694319598,0.8727873156438115,0.8183714754514624,0.9083860876521441,11.869560810163266,0.42883784174919126,0.27199159376450566,0.4004023409309945,0.08074791072804718,0.4053449897504863,0.904982930968837,0.5373752877973905,0.798511176504929,176.41283848973822,4.166879879491143,1.271245282500842,0.8812540399981608,0.8201415322832369,0.8813230641441805,14.156182923879816,0.318551117181778,0.3226078570759048,0.5432318686768409,0.0589179610148202,0.4053449897504863,0.9443040388247137,0.7074443591711436,0.7671510342561817,149.9796379075717,3.5425263879917686,0.9337996419544231,0.8833346244241345,0.8211078615283268,0.8620921504646081,15.723706361230072,0.2720574140548706
ItemKNN,ml-1m,0.05,0.4,0.5,True,False,ml-1m_ItemKNN_u0.4_s0.5_pTrue_0630_112341,ml-1m_ItemKNN_no_suppression_112341.log,0.29882191134381303,0.18210118391432065,0.23845719540545712,0.5305863703183976,0.8324326909443227,0.27882909520993493,0.8376749995762497,1421.205100397137,8.358212809931256,1.5423567834032537,0.815400805047924,0.7120756410663287,0.8898732640345035,8.779302425852888,0.6237775325775147,0.29883788722048077,0.27087900476992954,0.18798329783224094,0.5305863703183976,0.9023822765057062,0.3740981667652277,0.8330582790012301,1281.6187580037856,7.537295157188844,1.295687068031303,0.8448971273631392,0.7482793320110007,0.8709993099678041,11.427736254459877,0.5593467950820923,0.3343615088157484,0.41936075631731545,0.12707445463529798,0.5305863703183976,0.9536097941547101,0.5328799526907155,0.8164923048009243,1078.9906211951027,6.345624026643662,0.9584416046246135,0.8696987644877575,0.7871110023121278,0.8543570951585631,14.703196750056758,0.4864381432533264,0.379919098716352,0.5473002641592026,0.08857917885883568,0.5305863703183976,0.9741539865689124,0.6700768775872266,0.7905777499263966,910.2294946813705,5.353127300413684,0.7120018178962093,0.8808839120654091,0.8086163865621817,0.8498787529553535,16.487189082672153,0.4366554498672485
ItemKNN,ml-1m,0.05,0.42,0.8,False,True,ml-1m_ItemKNN_u0.42_s0.8_pFalse_0702_173153,ml-1m_ItemKNN_u0.42_s0.8_pFalse_0702_173153.log,0.2566438944593027,0.1592870322839582,0.20117293318939602,0.48574664382371935,0.7899525407182547,0.2200473092844471,0.8843789184224278,1640.702531040568,9.649093511132135,1.831268309271448,0.8372647205293037,0.7415708524799147,0.9017938067499246,9.519553847179086,0.5880421042442322,0.26044193038557173,0.24064835700888082,0.16160400683849904,0.48574664382371935,0.8805786865326315,0.31301005322294506,0.87832103723341,1464.2999640763962,8.611656905752172,1.508682153826017,0.8604192515656285,0.7718223778159186,0.8833342686082475,12.06139156009236,0.49404428005218504,0.29766948969134727,0.3829926199329662,0.11262200553835044,0.48574664382371935,0.9460216413526352,0.48497930218805435,0.856926396900793,1194.6090012288353,7.025584311609855,1.065981414714575,0.8786541379511312,0.8022049813427803,0.8642783875462307,15.078195706474776,0.39633759260177615,0.34308260248665173,0.5094984948471466,0.08057723537142462,0.48574664382371935,0.9704759057208154,0.6600827912477824,0.8294991972902448,975.2796724098531,5.735692229730767,0.7566287552509734,0.8872545665144902,0.819566508940792,0.8612333068897966,16.560324758787257,0.34356536865234377
LightGCN,lastfm,0.05,0.42,0.8,True,False,lastfm_LightGCN_u0.42_s0.8_pTrue_0703_141654,lastfm_LightGCN_no_suppression_0703_141654.log,0.3515662149538148,0.3256694413532312,0.23974818456679103,0.6191308582740173,0.8947920937684822,0.5542432814710043,0.7022417722212715,149.77578640371274,5.964877115190814,0.9238809970587806,0.8632696343295596,0.7505071580400546,0.8952431423206548,12.51572230476252,0.7299144744873047,0.40311243243985534,0.4485070452168204,0.16753987263901965,0.6191308582740173,0.9494866554845778,0.7243281471004244,0.7195564668843815,133.42496749658304,5.313699592738161,0.7989397129964788,0.8850743609024236,0.7780399742478561,0.8612581195766964,18.604202199010196,0.6826092958450317,0.473855303568053,0.6289038295372117,0.09543488942704514,0.6191308582740173,0.9817951521896783,0.9180339462517682,0.7077753974528183,109.88756107924314,4.376313515449931,0.6098004700028614,0.9078678145606703,0.8168243375890661,0.8256546000415532,30.779157163831712,0.615236222743988,0.5159509346431103,0.7610484762924838,0.05798310729209346,0.6191308582740173,0.99278198894888,0.9876944837340877,0.6590779573588833,91.46077398793773,3.6424597780296843,0.45134920402612516,0.9235174944606508,0.8480535011787703,0.8090898085952005,44.12365817824698,0.552792739868164
LightGCN,lastfm,0.05,0.42,0.8,False,True,lastfm_LightGCN_u0.42_s0.8_pFalse_0703_211119,lastfm_LightGCN_u0.42_s0.8_pFalse_0703_211119.log,0.3409751184240076,0.31729056586465376,0.23268574662851846,0.6066311677893009,0.8899391419044239,0.5422206506364922,0.7065320764727898,149.63668566215088,5.959337375757817,0.9334575772347924,0.8630663398438196,0.7495184051488636,0.8953922651977543,12.472655641683374,0.7315208911895752,0.3938399227433055,0.442179867832236,0.16506426036368999,0.6066311677893009,0.9478747516632616,0.710961810466761,0.7205130287115165,133.28341477644477,5.308062202334683,0.8005405212318788,0.8842149273927236,0.7756872034533953,0.8606976110850277,18.43984303627007,0.6853303074836731,0.46512548342120663,0.6242680105946123,0.09459847392651921,0.6066311677893009,0.9826659598423543,0.9085572842998586,0.706904276366658,109.57463926541114,4.363851286334075,0.6080479943803997,0.9073046327993932,0.8153812686366797,0.8251436156086778,30.57379915958071,0.6172380566596984,0.5072696793368223,0.7557556278451116,0.05764604060961955,0.6066311677893009,0.9938615577781998,0.9837340876944838,0.6584806819387219,91.19510407154519,3.6318793735295003,0.4477761160605006,0.9229520845573427,0.8467051903572758,0.8082885204602765,43.86606080825821,0.5551399827003479
LightGCN,ml-100k,0.05,0.42,0.8,True,False,ml-100k_LightGCN_u0.42_s0.8_pTrue_0703_140345,ml-100k_LightGCN_no_suppression_0703_140345.log,0.34204184148595684,0.28903293791712287,0.2404563223415958,0.5475569820414223,0.856934297401537,0.4151957022256331,0.6968409547703451,186.90297021494274,4.414657304270287,1.2181961844865472,0.8208156516165286,0.7696137597162731,0.8983260244168351,8.775448710409966,0.6993607640266418,0.36810046392311535,0.4228042065432504,0.18884017992048546,0.5475569820414223,0.9275040340473307,0.5229470452801228,0.6979601003900024,169.83911007851572,4.011608092672998,1.0456858612903337,0.8447862450702276,0.783594672371175,0.875293823070488,11.255014051381718,0.656982696056366,0.435917246227265,0.6301476887724615,0.12399160282455071,0.5475569820414223,0.9753407877846938,0.6704528012279355,0.6702689737602541,144.40519187305492,3.4108576998203675,0.7928204877620578,0.8650883591559178,0.8019422629979249,0.8539916052546793,14.269334220616662,0.5979598641395569,0.489490380116286,0.7793095007913586,0.08190272289646575,0.5475569820414223,0.9914961222771204,0.7894090560245587,0.6284974473825683,124.14131801709127,2.9322240075459067,0.5890722444441537,0.8738601734972923,0.8123968186497734,0.8430681516695037,16.11674288326435,0.5218133330345154
LightGCN,ml-100k,0.05,1.0,0.5,True,True,ml-100k_LightGCN_u1.0_s0.5_pTrue_0703_173708,ml-100k_LightGCN_u1.0_s0.5_pTrue_0703_173708.log,0.3223544891123683,0.27646511787297445,0.22757121069964295,0.5238509783773372,0.8477930098601913,0.4096699923254029,0.7079782230240976,180.00094384918185,4.251631103697706,1.211559735623958,0.8235566840317393,0.7757941969899483,0.9000105780323586,8.92308407240702,0.6920387148857117,0.3506467997245041,0.4111926615996276,0.18098209150749842,0.5238509783773372,0.9219748199162552,0.5166538756715273,0.7031145690677789,165.6362349704828,3.9123359769154193,1.036510751044299,0.8466653425153161,0.7872892139407596,0.8765509801202409,11.402040979929886,0.651809811592102,0.42029188735257106,0.6209756074906375,0.12108328999495585,0.5238509783773372,0.9732117614548595,0.6704528012279355,0.6737737657387634,142.5058662724555,3.365995536173471,0.7808182078492141,0.8668533498976722,0.804698364476869,0.8554029519560424,14.402525579948783,0.5912974238395691,0.47533209089152795,0.7734317247896418,0.08114603338023067,0.5238509783773372,0.9900058474783846,0.7884881043745203,0.6287547420236794,123.19723345985695,2.9099246840966844,0.5805574695389543,0.8748798788396638,0.8137718297924434,0.8440168751786246,16.176294413168314,0.515539824962616
